"n1";"l1";"j1";"n2";"l2";"j2";"dipole matrix element reduced J basis (a.u.)";"comment";"theory = 1, experiment = 0";"accuracy";"source";"doi"
2;0;0.5;2;1;0.5;-3.316974467282534;"from lifetime";0;0.001;"Physical Review A, 54, R5(R) (1996)";"https://doi.org/10.1103/PhysRevA.54.R5"
2;0;0.5;2;1;1.5;-4.690751957087059;"from lifetime";0;0.001;"Physical Review A, 54, R5(R) (1996)";"https://doi.org/10.1103/PhysRevA.54.R5"
